Role,Dialogue
피해자,저는 혼란스러운거에요. 저는 솔직히 이름도 딴 사람 이름으로 들어가고.
사기범,"네, 고객님. 지금 고객님이 혼란스러우셨든 안혼란스러우셨든 고객님께서 저랑 믿고 진행하자고 해서 제가 고객님 믿고 이렇게 올려드린건데 고객님께서 저를 먼저 안 믿으시고 다른 분 말만 믿으시고 지금 또 진행을 해서 지금 일이 이렇게 됐잖아요. 저랑 고객님이랑, 서로 좋게좋게 웃으면서 끝날 수 있을 문제를 선생님 이거를"
피해자,"저도 이제 이걸 진행을 하고,"
사기범,고객님도 어쨌든 지금 12분 10초째 지금 똑같은 말만 하고 있어요. 결론만 얘기해주세요. 마이너스 통장 이거 취소 처리해드릴까요. 그냥? 삼개월 뒤에 환급받으실래요? 아니면 마이너스통장 나가실래요? 고객님 전 더이상 고객님한테 돈 입금하세요. 이거 안해요. 어떻게 하실?
피해자,그러면 삼개월 만약에 완납한 증명서 거기에 보내게 되면 마이너스통장은 언제 나온다는 거에요?
사기범,내일 오전에 나갈 거에요.
피해자,내일 오전에 나오게 해주세요.
사기범,네 그럼 내일 오전 나오게 해드릴 테니까
피해자,네.
사기범,그분한테 지금 저한테 아니 고객님 저한테 전화하라고 제가
피해자,"그분 진짜 경찰 맞다니깐요, 경찰분 맞는데 제가 번호가…"
사기범,경찰맞으시면 네 경찰서 가셔서요. 저한테 사과 똑바로하라고 해주세요. 제가 내일 오전에 책임지고 마이너스통장 내어드릴게요. 제 이름 석자고 이서영 걸고 마이너스통장 내드릴 테니까 경찰서 가셔서
피해자,내내 전화번호만 확인좀 해달라 전화했을 때는 어 그 국민은행 측에서 은행번호가 아니다 그렇게 얘기가 나오고 있는데 경찰서에 간거에요 답답해서.
사기범,"그든 뭐든 필요없어요. 고객님. 그냥 그 남자분한테 가서 전화 저한테 카톡주세요. 제가 전화드릴게요. 아 이서영씨 제가 뭐 xx년, xxx년 한거 내가 잘못했다, 이 말만 하면 제가 마이너스통장 바로 내어드릴게요. 또 경찰서 가서 뭐 또 저한테 욕하지 마시구요."
피해자,그분이 아시다시피 계실지 안계실지 모르는거잖아요?
사기범,그러면은 그 분 어쨌든 그 분이 저한테 사과하기 전까지는 저는 고객님 저는 이렇게 진행 못 도와드려요. 저는 이쪽 고객님 진짜 솔직하게 말해서
피해자,네.
사기범,"네, 이렇게 예외심 사건은 제가 일년에 두번 있어요, 두번 있는데 한번에 고객님한테 썼어요. 제가 저희 부모님한테도 안한 걸 왜냐하면 고객님 이야기 듣고 와 진짜 고객님께서 진짜 고금리꺼 너무 많이 이용해서 고금리, 이거 한번 하면은 저 저축 은행에서 돈이 안 나오는데 제가 어떻게든 저도 진짜 발급 내어드릴려고 노력 진짜 많이 했어요. 근데 진짜 고객님께서 처음 처음에 진짜 뭐 경찰서 가서 사기가 맞든 맞다 이거 사기다 요거 계획."
피해자,제가 경찰서 전화해서
사기범,네.
피해자,어제께도 바로 전화했었어요.
사기범,네.
피해자,전화가 맞다고 알아봐달라고 전화가 자꾸 오는데 통화를 해봐라 말을 했는데 갑자기 막 욕을 하더라고요.
사기범,네
피해자,"그러고나서 이제 이런 이런 게 있으니까 우리한테 보내지말고 응 그냥 여기서 피해안본걸로 그렇게 하기로 그렇게 하고 전 나온거에요. 아 나오기전에 그 통화하고나서 다시 이 번호로 한번 전화해보라고 그 번호 그게 맞는지 하고, 전화 걸었더니 또 안 받더라고요 1588 저한테 오는 이번호"
사기범,네. 고객님.
피해자,예.
사기범,"일단 고객님이 일단, 일단 이왕 이렇게 된 거 그분한테 저는 사과는 꼭 받아야겠어요."
피해자,제가 경찰서에 전화해서 아까 어떤 분인지 이레 이레 통화를 했다고
사기범,가실거에요?
피해자,"지금 지금 가면은 나오신다고 했으니까 해가지고 전화해서 저 아까 담당했던 분 그 분, 네, 제가 보이스피싱 그걸로 몇시 몇분에 그것떄문에 담당자 전화좀 해달라고 얘기 한번 해 볼게요."
사기범,"네, 알겠습니다. 경찰서 가셔서 저한테 전화주세요. 그 분이 사과만 하시면서 저 내일 마이너스 발급 바로 넣어 드릴게요. 고객님."
피해자,알겠습니다.
사기범,"네, 경찰서 도착하셔서 저한테 전화주세요. 고객님."
피해자,예.
사기범,네에.
